"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"G***";"Mimosa-Logo";1;"LOGO";;;
2;"REF**";"OSHW-Logo2_7.3x6mm_Copper";1;"OSHW-Logo2_7.3x6mm_Copper";;;
3;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"CAT24C32";;;
4;"J5,J1";"TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal";2;"Screw_Terminal_01x04";;;
5;"J4,J2";"TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal";2;"Screw_Terminal_01x02";;;
6;"Y1";"Crystal_C26-LF_D2.1mm_L6.5mm_Horizontal";1;"32.768 kHz";;;
7;"U7";"VSSOP-8_2.4x2.1mm_P0.5mm";1;"TXB0102DCU";;;
8;"R20";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
9;"C27,C26,C25,C20,C8,C7";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"100nF";;;
10;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"DNP";;;
11;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"ADM3490ExR";;;
12;"D1";"SOT-23";1;"D_TVS_x2_AAC";;;
13;"R29,R23";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10K";;;
14;"R24";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47K";;;
15;"R19,R18,R17,R16";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10k";;;
16;"R15";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1.5k";;;
17;"R14";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8k";;;
18;"R13,R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"60R";;;
19;"R10,R5";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"R_Small";;;
20;"R9";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"NC";;;
21;"R8,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3.9K";;;
22;"R7";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"TBD";;;
23;"R4,R3,R2,R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"R";;;
24;"C24,C23";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"30pF";;;
25;"C22,C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"nc";;;
26;"C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47pF";;;
27;"C18,C17,C9,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"47nF";;;
28;"C16";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47uF";;;
29;"C13,C12,C11,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"C";;;
30;"C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"470nF";;;
31;"C4,C3,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10uF";;;
32;"Y2";"Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering";1;"8MHz";;;
33;"U6";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
34;"U5";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm";1;"AB0805";;;
35;"M1";"FanPinHeader_1x04_P2.54mm_Vertical";1;"Fan_Tacho_PWM";;;
36;"BT1";"BatteryHolder_Keystone_2998_1x6.8mm";1;"Battery_Cell";;;
37;"U4";"Texas_NDY0011A";1;"LMZ13608";;;
38;"U3";"TSOT-23-8_HandSoldering";1;"TCAN330";;;
39;"C15,C14";"CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder";2;"330uF";;;
40;"C1";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"150uF";;;
41;"J3";"PinSocket_2x20_P2.54mm_Vertical";1;"40HAT";;;
42;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"CONN_01X02";;;
43;"Q1";"SOT-23";1;"DMG2305UX";;;
44;"Q2";"SOT-23-6";1;"DMMT5401";;;
45;"H1,H2,H3,H4";"NPTH_3mm_ID";4;"3mm_Mounting_Hole";;;
